WKT,name,description
"LINESTRING (-83.0247596 42.4481718, -83.0246737 42.4460501, -83.0245879 42.4436275, -83.0245021 42.4413314, -83.0223992 42.4413631, -83.0222061 42.4412839, -83.0194166 42.4413314, -83.0190733 42.4412998, -83.0186441 42.4412047, -83.0180433 42.4409672, -83.0176356 42.4406188, -83.0171455 42.4400201, -83.0166949 42.43945, -83.016137 42.4387057, -83.01515 42.4374705, -83.0148495 42.4370113, -83.0145921 42.4364887, -83.0145277 42.4359027, -83.0144204 42.435491, -83.0143131 42.4340182, -83.0142273 42.4317851, -83.0140771 42.428475, -83.0139054 42.4247845, -83.0137767 42.4218225, -83.0136694 42.4197158, -83.0135192 42.4193514, -83.0129827 42.4188604, -83.011824 42.4177832, -83.0113305 42.4173396, -83.0103005 42.4161674, -83.0090345 42.4146466, -83.0078275 42.4132723, -83.0070523 42.4124584, -83.0061485 42.4116445)",Line 14,
"LINESTRING (-83.0135192 42.4193514, -83.0139405 42.4199441, -83.0140263 42.420641, -83.0141551 42.4239832, -83.0142838 42.4273411, -83.014434 42.430588, -83.0145842 42.4335496, -83.0146057 42.4342147, -83.0146271 42.4345314, -83.0146057 42.4355133, -83.0145277 42.4359027)",Line 15,
"LINESTRING (-83.0061485 42.4116445, -83.0046344 42.4104348, -83.0034971 42.4095635, -83.0027461 42.4089852, -83.0028534 42.4088664, -83.0012119 42.4076147, -83.0004072 42.4070206, -82.9987442 42.4057531, -82.9976499 42.4049054, -82.9967487 42.4041686, -82.9961908 42.4037408, -82.9957294 42.4033923, -82.99559 42.40321, -82.9955041 42.4030595, -82.9953539 42.402909, -82.995193 42.4027743, -82.9950321 42.4026396, -82.9949033 42.4024891, -82.994796 42.402291, -82.9946244 42.4020534, -82.9943669 42.4017919, -82.9941308 42.4015939, -82.9938948 42.4014433, -82.9935944 42.4012215, -82.993294 42.4009838, -82.9931223 42.4007858, -82.9929399 42.400659, -82.9928648 42.4005164, -82.9927683 42.4003342, -82.9927548 42.4001403, -82.9926905 42.4000215, -82.992551 42.3999105, -82.9923686 42.3998155, -82.9922399 42.3996808, -82.9920789 42.3994748, -82.9919931 42.3993084, -82.9919073 42.3991262, -82.9917678 42.3989836, -82.9915854 42.3989123, -82.9913923 42.3988251, -82.9912957 42.3987538, -82.9911241 42.3986825, -82.9909846 42.3985161, -82.990888 42.398421, -82.9907056 42.3982626, -82.9905876 42.3980328, -82.9904803 42.3977951, -82.9904267 42.3975257, -82.990373 42.3973039, -82.9903945 42.3971771, -82.990184 42.397222)",Line 16,
"LINESTRING (-82.990184 42.397222, -82.9900576 42.3967981, -82.9898537 42.3964733, -82.9895855 42.3960692, -82.9892744 42.3956809, -82.9889203 42.3954036, -82.9885019 42.3952452, -82.988062 42.3951818, -82.987547 42.3951105, -82.9871179 42.3950471, -82.9866673 42.3949678, -82.9863239 42.3948807, -82.9860557 42.3947777, -82.9858197 42.3946905, -82.9854442 42.3944607, -82.985176 42.394326, -82.9849936 42.394223, -82.9848005 42.3940725, -82.9845859 42.3938823, -82.9843284 42.3936605, -82.9840924 42.3934782, -82.9838349 42.3932881, -82.9835881 42.3931534, -82.983395 42.3930424, -82.9831804 42.3929315, -82.9834164 42.3926859, -82.983631 42.392464, -82.9838563 42.3922342, -82.9841031 42.3919807, -82.9843069 42.3917746, -82.984543 42.3915131, -82.9847254 42.3912834, -82.9849507 42.3910456, -82.9852296 42.3907525, -82.9854442 42.3905227, -82.9856802 42.3903166, -82.9857982 42.3902374, -82.9857231 42.3901582, -82.9853905 42.3896748, -82.9848863 42.3889141, -82.9841782 42.3878285, -82.9838349 42.3872579, -82.9835345 42.3867507, -82.9832233 42.3862753, -82.9828478 42.3857364, -82.9826547 42.3854511, -82.9823114 42.3849122, -82.9819788 42.3844051, -82.9816247 42.3838662, -82.9812707 42.3833194, -82.9809381 42.3827963, -82.9805626 42.3822257, -82.9800798 42.3814966, -82.9795648 42.3806883, -82.9790283 42.379864, -82.9786206 42.3792458, -82.9782344 42.3786435, -82.9777731 42.3778985, -82.9773868 42.3773437, -82.9771079 42.3769237, -82.9767324 42.3763768, -82.9764749 42.3759884, -82.976035 42.3753147, -82.9758097 42.3749501, -82.9753913 42.3743398, -82.9749621 42.3736582, -82.9742969 42.3726437, -82.9738678 42.371962, -82.9733206 42.3711218, -82.9728163 42.370345, -82.9723121 42.369592, -82.9721619 42.3693621, -82.9735352 42.3688548, -82.9745973 42.3684268, -82.976271 42.3677688, -82.9776443 42.367206, -82.9802836 42.3661755, -82.9817105 42.3656048, -82.9830624 42.3650657, -82.9847683 42.3643761, -82.9866565 42.3636388, -82.9881586 42.3630363, -82.9884697 42.3628936, -82.9896112 42.3624639, -82.9920144 42.3615284, -82.993774 42.3608308, -82.9958125 42.3600222, -82.9982372 42.3590708, -83.0008014 42.3580402, -83.0033012 42.3571205, -83.0040307 42.356851, -83.0053182 42.3563911, -83.0074425 42.3556062, -83.0073138 42.3553763, -83.0057688 42.3530136, -83.0046959 42.351412, -83.0043097 42.3508094, -83.003623 42.3498103, -83.0027862 42.3485258, -83.0026574 42.3484584, -83.0025502 42.3483275, -83.0020781 42.3476218, -83.0015417 42.3470351, -83.0011983 42.3465752, -83.0009408 42.346147, -83.0007263 42.3457663, -83.0007263 42.3455443, -83.0004044 42.3451002, -82.9992028 42.3435143, -82.9979582 42.341849, -82.9965635 42.3399933)",Line 17,
"LINESTRING (-83.0027862 42.3485258, -83.0028288 42.3483762, -83.0027644 42.3482334, -83.0025069 42.3478449, -83.0022924 42.3475356, -83.0020993 42.347266, -83.0018847 42.3469251, -83.0015735 42.3465445, -83.0012624 42.3461638, -83.0011337 42.3459815, -83.0010156 42.3457991, -83.0009083 42.3456484, -83.0007263 42.3455443)",Line 18,
"LINESTRING (-82.9965635 42.3399933, -82.9963273 42.3396957, -82.9961825 42.3395629, -82.9956782 42.3392536, -82.9951418 42.339095, -82.9943961 42.3389681, -82.9940957 42.3389245, -82.9939133 42.3389205, -82.9935539 42.3390157, -82.9930443 42.3391941, -82.992524 42.3393884, -82.992009 42.3395867, -82.9916066 42.3397294, -82.9912687 42.3398285, -82.9907591 42.3399277, -82.9902548 42.3400308, -82.9898686 42.3401338, -82.9891122 42.34034, -82.9883612 42.3405462, -82.9879267 42.3406572, -82.9875297 42.3407683, -82.9870254 42.3408872, -82.9863656 42.34103, -82.985679 42.3411925, -82.9850996 42.3413194, -82.9843003 42.3415018, -82.9836673 42.3416446, -82.9830236 42.3417873)",Line 19,
"LINESTRING (-82.9830236 42.3417873, -82.9812808 42.3421893, -82.9801543 42.342451, -82.9796822 42.3425858, -82.9787596 42.3430934, -82.978148 42.3435136, -82.9779764 42.3437595, -82.9778691 42.3442511, -82.9777832 42.3445128, -82.9775043 42.3449569, -82.977279 42.3453375, -82.9770215 42.3457498, -82.976764 42.3461701, -82.9766245 42.3464001, -82.976528 42.3465904, -82.9763456 42.3467886, -82.9762222 42.3469194, -82.9759593 42.3471296)",Line 20,
"LINESTRING (-82.9759593 42.3471296, -82.9754891 42.3474071, -82.9749527 42.3476371, -82.9745128 42.347756, -82.9741266 42.3477956, -82.9736438 42.3478432, -82.9730644 42.3478908, -82.9725173 42.3479622, -82.9718735 42.3480811, -82.9713156 42.3482, -82.9709616 42.348319, -82.9706504 42.3485013, -82.9704788 42.3486758, -82.9702964 42.3490009, -82.9700925 42.3492705, -82.9697599 42.3495004, -82.9695025 42.3496035, -82.9690518 42.3497383, -82.9687085 42.3498334, -82.9684296 42.3498493, -82.9680648 42.3498097, -82.9677107 42.3496907, -82.9672494 42.3495559, -82.9667988 42.3494608, -82.9664447 42.3494053, -82.9660478 42.3493736, -82.9657474 42.3493022, -82.9654148 42.3491357, -82.9651144 42.348882, -82.9648032 42.3486282, -82.9645457 42.3483586, -82.9642775 42.3480256, -82.9640522 42.3477719, -82.9638054 42.3475102, -82.9634085 42.3473278, -82.9630866 42.3471692, -82.9629149 42.3469631, -82.9627755 42.3466776, -82.9624643 42.3463445, -82.9620245 42.3459164, -82.9615846 42.3454644, -82.9611983 42.3451472, -82.9609623 42.3449886, -82.9607692 42.3447983, -82.9606083 42.3445683, -82.9603937 42.3441084, -82.9601469 42.3434978, -82.9600504 42.3431727, -82.9599538 42.3427999, -82.9598036 42.3422607, -82.9597178 42.3419197, -82.9596963 42.3417294, -82.9597178 42.3413963, -82.9597499 42.3411584, -82.9597821 42.3410157, -82.9600182 42.3407778, -82.96034 42.3405874, -82.9611018 42.3402702, -82.9614451 42.3401671, -82.9624 42.3400403, -82.9625716 42.3400085, -82.9632261 42.3398579, -82.9636874 42.3397548, -82.9642239 42.3397072, -82.9649749 42.3396913, -82.9657259 42.3396596, -82.9663374 42.3396675, -82.9667666 42.3396437, -82.9674854 42.3395327, -82.9682901 42.3393979, -82.9689767 42.3392789, -82.9695668 42.3392314, -82.9703178 42.339152, -82.9708221 42.3390648, -82.9715409 42.3388666, -82.9720774 42.3387317, -82.9731824 42.3385017, -82.9742231 42.3382956, -82.9748025 42.3381687, -82.9752209 42.3380814, -82.9754462 42.3380021, -82.9758217 42.3378673, -82.9763475 42.3375977, -82.9769054 42.3373439, -82.9772594 42.3371853, -82.9777637 42.3370187, -82.9783108 42.3369236, -82.9788044 42.3368125, -82.9791799 42.3366936, -82.9797378 42.3364715, -82.9800596 42.3363525, -82.9802742 42.3362891, -82.9807785 42.3362019, -82.9812183 42.3361463, -82.9817333 42.3360591, -82.9822483 42.3359322, -82.982774 42.3358053, -82.9833963 42.3356626, -82.9840186 42.3355119, -82.9845979 42.3353691, -82.9851666 42.3352184, -82.9856601 42.3350598, -82.9860892 42.3349012, -82.9865935 42.334695, -82.9870226 42.3344967, -82.9873982 42.3343143, -82.9879346 42.3340843, -82.988353 42.3338939, -82.988868 42.3337274, -82.9893079 42.3336164, -82.9899623 42.3335291, -82.9906168 42.3335053, -82.9913571 42.3335529, -82.9919901 42.3336164, -82.9926124 42.3336719, -82.9932346 42.3336798, -82.9939642 42.3336877, -82.9945972 42.3336639, -82.9951336 42.3335767, -82.9958417 42.3334577, -82.9962173 42.3334339, -82.9973331 42.3334101, -82.9984381 42.3333864, -82.9995539 42.3333626, -83.000423 42.3333705, -83.0009379 42.3333546, -83.001646 42.3333308, -83.0020216 42.333315, -83.0022469 42.3333229, -83.00244 42.3333864, -83.0025258 42.333537, -83.0029228 42.3341953, -83.0029657 42.3343222, -83.0029442 42.3344491, -83.0028048 42.3345919, -83.0019143 42.3353374, -83.0010452 42.3360591, -83.0006375 42.3364001, -83.0003693 42.3366143, -82.9999938 42.3367967, -82.9995325 42.3369236, -82.9990389 42.3370187, -82.9984059 42.3371377, -82.9978051 42.3372566, -82.9974511 42.337328, -82.9972794 42.3374153, -82.9971507 42.3375421, -82.9970326 42.3377008, -82.9965391 42.3386921, -82.9963782 42.3390331, -82.9962924 42.339271, -82.9963031 42.3394613, -82.9963675 42.3396358, -82.9965635 42.3399933)",Line 21,
"LINESTRING (-83.0062642 42.340883, -83.0064014 42.3408494, -83.0065409 42.340778, -83.0065892 42.3407404, -83.0068413 42.3408434, -83.0069379 42.3409029, -83.0070022 42.3409822, -83.0070612 42.3410377, -83.0071739 42.3410893, -83.0072812 42.3411527, -83.007367 42.3412598, -83.0073885 42.3413946, -83.0073885 42.3415016, -83.0074421 42.3416087, -83.0075548 42.341692, -83.0077211 42.3417435, -83.0078659 42.3417633, -83.0079517 42.3417633, -83.0080429 42.3417514, -83.0081395 42.3416999, -83.00822 42.3416721, -83.008338 42.3416721, -83.0084345 42.341692, -83.0085043 42.3417158, -83.0085365 42.3416563, -83.0085633 42.3416285, -83.0086652 42.3415849, -83.0088047 42.3415849, -83.0088905 42.341573, -83.0090085 42.3415254, -83.0091748 42.341458, -83.0093089 42.3414025, -83.0094538 42.341343, -83.0095611 42.3412875, -83.0095021 42.3411805, -83.0093626 42.3409584, -83.0091963 42.3406928, -83.009089 42.3405223, -83.0088905 42.340217, -83.008751 42.3399989, -83.008633 42.3398284, -83.0085794 42.3397372, -83.0085633 42.3396777, -83.0086062 42.339638, -83.0087725 42.3395548, -83.0088744 42.3394993, -83.0089388 42.3394437, -83.0089602 42.3393763, -83.0089871 42.339305, -83.00903 42.3392534, -83.0090997 42.3392098, -83.0092231 42.3391662, -83.0093036 42.339186, -83.0093787 42.3392891, -83.0094699 42.3394081, -83.0095557 42.3395191, -83.0096362 42.3396261, -83.0096791 42.3396658, -83.0097703 42.3396341, -83.0099151 42.3395667, -83.0103604 42.3393803, -83.0106983 42.3392376, -83.0108271 42.339182, -83.01087 42.3391582, -83.0108539 42.3391226, -83.0106983 42.3389124, -83.0105642 42.338734, -83.0105213 42.3386705, -83.010532 42.3386269, -83.0108271 42.3384524, -83.0110202 42.3383374, -83.0111704 42.3382581, -83.0111918 42.3382224, -83.011106 42.3381392, -83.0110577 42.3381075, -83.0110953 42.3380519, -83.011342 42.3378418, -83.0115083 42.3377466, -83.0117336 42.3376316, -83.0120609 42.337477, -83.0124954 42.3372787, -83.012946 42.3370725, -83.0134342 42.3368346, -83.0139706 42.3365848, -83.0140457 42.3365491, -83.0140779 42.3365055, -83.0142174 42.336446, -83.0142335 42.3363825, -83.0143086 42.3363429, -83.0149308 42.3360891, -83.0157409 42.3357639, -83.01639 42.3355062, -83.0167226 42.3353674, -83.016862 42.3353198, -83.0169425 42.3353198, -83.0169908 42.3353317, -83.0173019 42.3352088, -83.0177954 42.3350145, -83.018187 42.3348638, -83.0183104 42.3348122, -83.018407 42.3347845, -83.018466 42.3348201, -83.0186108 42.3350382, -83.0187128 42.3352008, -83.0187557 42.3352643, -83.01882 42.3352801, -83.0191205 42.3351612, -83.0193458 42.3350739, -83.0192867 42.3350184, -83.0191419 42.3348043, -83.0190132 42.3346139, -83.0190078 42.3345465, -83.0191044 42.334487, -83.0192867 42.3344196, -83.0194101 42.3343879, -83.0195121 42.3344038, -83.0195979 42.3344236, -83.0196998 42.3343919, -83.0198607 42.3343245, -83.0200002 42.334265, -83.0206171 42.3352167, -83.0209926 42.3350977, -83.0217276 42.3348638, -83.0223337 42.3346695, -83.022661 42.3345664, -83.0237231 42.3341817, -83.0246726 42.3338526, -83.0259118 42.3334203, -83.0274568 42.332877, -83.0289803 42.3323377, -83.0290232 42.3323218, -83.0289481 42.3322901, -83.028873 42.3322544, -83.0287764 42.3321156, -83.0284653 42.331612, -83.0282775 42.3313145, -83.028181 42.3311757, -83.0281327 42.3311044, -83.028138 42.3310568, -83.0282239 42.3310171, -83.0284867 42.330918, -83.0287281 42.3308506, -83.0295596 42.3306007, -83.0298225 42.3305571, -83.0301014 42.3304976, -83.0302033 42.33045, -83.0303214 42.3304262, -83.0304447 42.33045, -83.0305788 42.3304421, -83.0306754 42.3303945, -83.0307559 42.3303231, -83.0307934 42.3302557, -83.0309758 42.3301922, -83.0311099 42.3301526, -83.0312226 42.3301288, -83.0312977 42.3301447, -83.0313406 42.3302121, -83.0314372 42.3301922, -83.0315659 42.3301605, -83.0317805 42.3301248, -83.0319092 42.3301169, -83.0320058 42.3301367, -83.0320433 42.3301367, -83.0323813 42.3299821, -83.0326978 42.329871, -83.0331323 42.3297163, -83.0339102 42.3294982, -83.0340657 42.3294467, -83.0341462 42.3293872, -83.0342535 42.3292642, -83.0343232 42.3292048, -83.0345968 42.3291175, -83.0348006 42.329058, -83.0353961 42.3288835, -83.0361847 42.3286376, -83.0373809 42.3282847, -83.0378047 42.3281617, -83.0385987 42.3279515, -83.0393658 42.3277453, -83.0403421 42.3274915, -83.0410985 42.3272892, -83.0420641 42.3270473, -83.0421392 42.3268887, -83.0436197 42.3264762, -83.0444834 42.3262263, -83.045508 42.3259289, -83.046656 42.3255838, -83.0472246 42.3254212, -83.0484048 42.3250762, -83.0496815 42.3247034, -83.0501322 42.3245764, -83.0513177 42.3242393, -83.051881 42.3240886, -83.0520741 42.3244218)",Line 23,
